User-ID,Age
254,24.0
388,35.0
503,40.0
638,20.0
643,23.0
651,26.0
735,29.0
741,16.0
805,34.0
882,23.0
901,21.0
929,36.0
1025,33.0
1131,22.0
1155,22.0
1167,25.0
1184,38.0
1211,22.0
1435,36.0
1548,28.0
1585,29.0
1674,26.0
1733,30.0
1812,24.0
1848,22.0
1903,36.0
1928,17.0
2012,34.0
2033,27.0
2090,28.0
2179,30.0
2276,46.0
2288,30.0
2313,23.0
2326,23.0
2337,34.0
2358,23.0
2766,42.0
2793,34.0
2977,25.0
3145,34.0
3167,42.0
3282,52.0
3331,60.0
3346,20.0
3363,29.0
3371,25.0
3373,30.0
3556,68.0
3578,25.0
3719,18.0
3827,23.0
3840,46.0
3917,25.0
4017,48.0
4092,27.0
4131,51.0
4157,39.0
4223,28.0
4334,38.0
4385,33.0
4622,18.0
4785,30.0
4802,28.0
4896,18.0
4938,30.0
5037,26.0
5207,34.0
5331,26.0
5385,30.0
5439,66.0
5483,20.0
5499,60.0
5539,32.0
5543,29.0
5582,26.0
5609,25.0
5709,15.0
5899,25.0
5903,25.0
6073,28.0
6120,36.0
6251,32.0
6323,35.0
6333,45.0
6345,29.0
6431,30.0
6432,21.0
6537,28.0
6543,34.0
6563,31.0
6577,62.0
6611,22.0
6662,31.0
6671,54.0
6866,51.0
6900,25.0
7125,28.0
7134,23.0
7158,30.0
7283,30.0
7286,28.0
7312,23.0
7346,49.0
7371,26.0
7569,22.0
7620,21.0
7887,23.0
7958,27.0
8067,26.0
8234,44.0
8245,31.0
8250,34.0
8253,26.0
8255,47.0
8284,28.0
8314,36.0
8323,48.0
8362,28.0
8487,30.0
8672,17.0
8680,2.0
8681,34.0
8782,239.0
8801,24.0
8864,26.0
8870,45.0
8872,65.0
8935,35.0
8936,18.0
8937,37.0
8971,27.0
9141,65.0
9177,26.0
9227,24.0
9354,30.0
9408,34.0
9417,26.0
9571,27.0
9574,33.0
9613,34.0
9660,35.0
9856,22.0
9908,36.0
10001,47.0
10030,66.0
10067,61.0
10118,44.0
10199,17.0
10241,27.0
10354,15.0
10532,29.0
10560,27.0
10590,22.0
10619,33.0
10819,27.0
11120,58.0
11224,51.0
11400,49.0
11629,21.0
11657,25.0
11687,47.0
11709,29.0
11724,42.0
11788,30.0
11944,21.0
11993,37.0
12100,26.0
12112,40.0
12154,41.0
12238,31.0
12272,18.0
12331,31.0
12538,18.0
12569,22.0
12692,151.0
12824,18.0
12835,38.0
12863,29.0
12917,24.0
12982,41.0
12990,58.0
13093,29.0
13104,25.0
13126,21.0
13221,45.0
13273,201.0
13518,27.0
13540,15.0
13552,32.0
13582,29.0
13607,31.0
13850,28.0
13935,36.0
14079,41.0
14230,30.0
14232,23.0
14374,57.0
14449,72.0
14456,27.0
14638,33.0
14744,27.0
14768,24.0
14897,24.0
15021,37.0
15049,28.0
15076,23.0
15361,39.0
15408,34.0
15418,23.0
15497,38.0
15602,21.0
15651,23.0
15918,23.0
15945,36.0
15957,27.0
16009,25.0
16106,44.0
16110,35.0
16121,37.0
16155,47.0
16161,28.0
16220,30.0
16246,32.0
16488,36.0
16504,28.0
16599,33.0
16601,40.0
16634,42.0
16718,29.0
16730,71.0
16795,47.0
16835,28.0
16871,26.0
16877,37.0
16908,55.0
16916,53.0
16949,49.0
16966,41.0
16996,23.0
16999,48.0
17058,35.0
17177,67.0
17183,23.0
17190,31.0
17282,38.0
17507,37.0
17667,33.0
17859,43.0
17894,47.0
17950,32.0
17970,40.0
18067,33.0
18082,38.0
18095,30.0
18155,26.0
18167,34.0
18172,36.0
18250,31.0
18323,41.0
18384,37.0
18439,38.0
18714,31.0
18850,28.0
18979,36.0
19018,25.0
19019,38.0
19085,60.0
19522,54.0
19570,63.0
19573,69.0
19664,19.0
19681,44.0
19760,23.0
19969,44.0
19972,39.0
19974,30.0
20005,22.0
20060,48.0
20115,32.0
20119,51.0
20149,53.0
20172,27.0
20180,36.0
20201,31.0
20265,29.0
20336,32.0
20345,22.0
20347,45.0
20409,51.0
20561,40.0
20971,20.0
21011,44.0
21031,36.0
21049,55.0
21202,67.0
21252,28.0
21343,40.0
21356,56.0
21364,32.0
21370,36.0
21484,21.0
21576,31.0
21618,24.0
21659,31.0
21660,52.0
21708,44.0
